Country,Year,Value
Denmark,2021,18.23713402
Finland,1950,0.194734247
Finland,1960,0.253599814
Finland,1970,0.260224906
Finland,1980,1.508457309
Finland,1985,2.151525617
Finland,1990,2.217124884
Finland,1995,2.414791549
Finland,2000,10.15745996
Finland,2001,10.21708579
Finland,2002,10.22143011
Finland,2003,10.22414531
Finland,2004,10.28094732
Finland,2005,10.5246638
Finland,2006,10.53530739
Finland,2007,10.54117223
Finland,2008,10.55539988
Finland,2009,10.55920117
Finland,2010,10.56267662
Finland,2011,11.35041086
Finland,2012,11.3535605
Finland,2013,11.35660152
Finland,2014,11.39059585
Finland,2015,12.07580408
Finland,2016,12.07841067
Finland,2017,12.08427551
Finland,2018,12.08525298
Finland,2019,12.08720793
Finland,2020,12.08720793
Finland,2021,12.08720793
France,1950,19.45292233
France,1960,19.45292233
France,1970,19.79841689
France,1980,19.83178485
France,1985,19.85912997
France,1990,19.8636298
France,1995,20.01443176
France,2000,20.29351346
France,2001,20.29547493
France,2002,20.29748254
France,2003,20.31019744
France,2004,21.41916299
France,2005,21.94107393
France,2006,22.18992601
France,2007,23.02878644
France,2008,24.753144
France,2009,27.29633197
France,2010,27.59555906
France,2011,29.35757672
France,2012,42.14948294
France,2013,42.60262725
France,2014,42.66040967
France,2015,42.66797862
France,2016,42.8153884
France,2017,42.82018822
France,2018,45.55345358
France,2019,45.57189135
France,2020,45.57189135
France,2021,45.57189135
Germany,1950,0.003668449
Germany,1960,0.003827947
Germany,1970,0.168748644
Germany,1980,4.412824897
Germany,1985,11.79007541
Germany,1990,15.6805451
Germany,1995,16.0886999
Germany,2000,16.30226742
Germany,2001,16.38026183
Germany,2002,16.38424928
Germany,2003,16.38839622
Germany,2004,32.88891937
Germany,2005,32.96180985
Germany,2006,32.97137972
Germany,2007,42.22288857
Germany,2008,44.67596432
Germany,2009,45.2862028
Germany,2010,45.29322071
Germany,2011,45.29800564
Germany,2012,45.29800564
Germany,2013,45.33564711
Germany,2014,45.33564711
Germany,2015,45.33564711
Germany,2016,45.33564711
Germany,2017,45.35143739
Germany,2018,45.35159689
Germany,2019,45.35159689
Germany,2020,45.35159689
Germany,2021,45.35159689
Greece,1950,2.531592364
Greece,1960,2.531592364
Greece,1970,2.531592364
Greece,1980,2.636618166
Greece,1985,2.642476697
Greece,1990,2.700299473
Greece,1995,2.722301514
Greece,2000,2.851003222
Greece,2001,3.329598752
Greece,2002,3.572681314
Greece,2003,3.572811504
Greece,2004,3.573685634
Greece,2005,3.573704232
Greece,2006,4.575103956
Greece,2007,4.575103956
Greece,2008,4.581018284
Greece,2009,4.586783822
Greece,2010,4.681375859
Greece,2011,4.681375859
Greece,2012,4.68498397
Greece,2013,4.685021167
Greece,2014,4.685021167
Greece,2015,4.685021167
Greece,2016,4.685021167
Greece,2017,4.685021167
Greece,2018,4.685021167
Greece,2019,4.685021167
Greece,2020,4.685021167
Greece,2021,4.685021167
Iceland,1950,0.334611666
Iceland,1960,0.334611666
Iceland,1970,0.334611666
Iceland,1980,0.33626889
Iceland,1985,0.338198534
Iceland,1990,0.338527709
Iceland,1995,0.340071424
Iceland,2000,0.340196283
Iceland,2001,0.340298441
Iceland,2002,0.340332494
Iceland,2003,0.340332494
Iceland,2004,0.340332494
Iceland,2005,0.340332494
Iceland,2006,0.348141877
Iceland,2007,0.348255386
Iceland,2008,0.358141975
Iceland,2009,0.358709518
Iceland,2010,0.358709518
Iceland,2011,0.360434847
Iceland,2012,0.362319087
Iceland,2013,0.362319087
Iceland,2014,0.401479515
Iceland,2015,0.401479515
Iceland,2016,0.401479515
Iceland,2017,0.401479515
Iceland,2018,0.401479515
Iceland,2019,0.401706532
Iceland,2020,0.401706532
Iceland,2021,0.401706532
Ireland,1950,0.559017938
Ireland,1960,0.559017938
Ireland,1970,0.559017938
Ireland,1980,0.559017938
Ireland,1985,0.562076599
Ireland,1990,0.59616486
Ireland,1995,0.668961015
Ireland,2000,0.689162247
Ireland,2001,0.689162247
Ireland,2002,0.689605225
Ireland,2003,0.689605225
Ireland,2004,0.718187894
Ireland,2005,0.719242605
Ireland,2006,0.732658529
Ireland,2007,0.735506249
Ireland,2008,0.738037555
Ireland,2009,1.383921493
Ireland,2010,1.386220763
Ireland,2011,1.393308421
Ireland,2012,1.393308421
Ireland,2013,1.39335061
Ireland,2014,1.39335061
Ireland,2015,1.39335061
Ireland,2016,1.987996685
Ireland,2017,2.072352473
Ireland,2018,2.102601585
Ireland,2019,2.371995875
Ireland,2020,2.371995875
Ireland,2021,2.371995875
Italy,1950,0.317170362
Italy,1960,0.317170362
Italy,1970,0.317170362
Italy,1980,0.327210793
Italy,1985,0.332859584
Italy,1990,0.417474106
Italy,1995,0.555123562
Italy,2000,4.437384667
Italy,2001,4.437384667
Italy,2002,4.462946701
Italy,2003,4.465343665
Italy,2004,4.498297736
Italy,2005,5.288240006
Italy,2006,5.350644892
Italy,2007,5.432091398
Italy,2008,5.438192763
Italy,2009,5.481958317
Italy,2010,5.481958317
Italy,2011,5.481958317
Italy,2012,5.482159461
Italy,2013,5.482192985
Italy,2014,5.482192985
Italy,2015,5.495166764
Italy,2016,5.507386254
Italy,2017,5.628039053
Italy,2018,5.741735627
Italy,2019,5.870937041
Italy,2020,5.870937041
Italy,2021,5.870937041
Japan,1950,0.21478526
Japan,1960,0.276784943
Japan,1970,0.319400573
Japan,1980,7.758954219
Japan,1985,7.763080577
Japan,1990,7.767634214
Japan,1995,7.769662288
Japan,2000,7.779046393
Japan,2001,7.779242982
Japan,2002,7.784450578
Japan,2003,8.05490456
Japan,2004,8.118868125
Japan,2005,8.122362145
Japan,2006,8.122412295
Japan,2007,8.123688116
Japan,2008,8.124648994
Japan,2009,8.124733246
Japan,2010,8.12478139
Japan,2011,8.124783396
Japan,2012,8.133862587
Japan,2013,8.976532299
Japan,2014,8.994620471
Japan,2015,8.994620471
Japan,2016,8.994620471
Japan,2017,8.994620471
Japan,2018,8.994620471
Japan,2019,8.994622477
Japan,2020,8.994622477
Japan,2021,8.994622477
Korea,1950,0
Korea,1960,0
Korea,1970,0.168131614
Korea,1980,0.400067932
Korea,1985,1.191100123
Korea,1990,1.19493117
Korea,1995,1.19493117
Korea,2000,1.322224614
Korea,2001,1.322441838
Korea,2002,1.325482979
Korea,2003,1.366459382
Korea,2004,1.382178523
Korea,2005,1.382632719
Korea,2006,1.390097336
Korea,2007,1.404276159
Korea,2008,1.476671097
Korea,2009,1.482891611
Korea,2010,1.496232255
Korea,2011,1.498819199
Korea,2012,1.513827424
Korea,2013,1.517145032
Korea,2014,1.524451668
Korea,2015,1.524728135
Korea,2016,1.543093463
Korea,2017,1.544870753
Korea,2018,1.754689686
Korea,2019,1.773627696
Korea,2020,1.773923911
Korea,2021,1.773923911
Mexico,1950,1.40422E-05
Mexico,1960,1.40422E-05
Mexico,1970,1.40422E-05
Mexico,1980,1.40422E-05
Mexico,1985,1.40422E-05
Mexico,1990,0.182388981
Mexico,1995,0.515445532
Mexico,2000,1.061475054
Mexico,2001,1.061475054
Mexico,2002,1.071475934
Mexico,2003,1.073590695
Mexico,2004,1.38387074
Mexico,2005,1.603957506
Mexico,2006,1.605827932
Mexico,2007,1.72635244
Mexico,2008,1.80916512
Mexico,2009,1.937418474
Mexico,2010,1.944835583
Mexico,2011,1.944852434
Mexico,2012,1.953272158
Mexico,2013,1.954760635
Mexico,2014,1.954769061
Mexico,2015,1.954769061
Mexico,2016,17.74519274
Mexico,2017,22.18768144
Mexico,2018,22.18768144
Mexico,2019,22.18768144
Mexico,2020,22.18768144
Mexico,2021,22.18768144
Netherlands,1950,0
Netherlands,1960,0
Netherlands,1970,0
Netherlands,1980,0.095202094
Netherlands,1985,3.972587397
Netherlands,1990,4.512859283
Netherlands,1995,4.845226595
Netherlands,2000,11.92168228
Netherlands,2001,12.01996444
Netherlands,2002,12.0273846
Netherlands,2003,12.02766461
Netherlands,2004,12.06126535
Netherlands,2005,12.06126535
Netherlands,2006,12.06126535
Netherlands,2007,12.08114579
Netherlands,2008,12.0818458
Netherlands,2009,22.23794923
Netherlands,2010,22.23934927
Netherlands,2011,22.23934927
Netherlands,2012,22.23934927
Netherlands,2013,22.24704944
Netherlands,2014,22.37123217
Netherlands,2015,22.37613227
Netherlands,2016,26.85203074
Netherlands,2017,26.85203074
Netherlands,2018,26.92917244
Netherlands,2019,26.92917244
Netherlands,2020,26.92917244
Netherlands,2021,26.92917244
New Zealand,1950,0.004574314
New Zealand,1960,0.005146377
New Zealand,1970,0.00580173
New Zealand,1980,0.014157652
New Zealand,1985,0.014786703
New Zealand,1990,0.211562577
New Zealand,1995,0.213914393
New Zealand,2000,0.554800525
New Zealand,2001,2.602675161
New Zealand,2002,2.603534351
New Zealand,2003,2.603578188
New Zealand,2004,2.603952988
New Zealand,2005,2.60455184
New Zealand,2006,2.605257604
New Zealand,2007,29.80597285
New Zealand,2008,29.8064156
New Zealand,2009,29.80643971
New Zealand,2010,29.80654053
New Zealand,2011,29.8066304
New Zealand,2012,29.80679259
New Zealand,2013,29.80679917
New Zealand,2014,29.81350831
New Zealand,2015,29.81378009
New Zealand,2016,29.81379105
New Zealand,2017,29.81379544
New Zealand,2018,29.81380859
New Zealand,2019,29.81381735
New Zealand,2020,29.81381954
New Zealand,2021,29.81381954
Norway,1950,3.87237E-05
Norway,1960,3.87237E-05
Norway,1970,0.01051348
Norway,1980,0.113199006
Norway,1985,0.163791498
Norway,1990,0.178283836
Norway,1995,0.203492954
Norway,2000,0.208197881
Norway,2001,0.208488309
Norway,2002,0.311406177
Norway,2003,0.326982778
Norway,2004,0.361078981
Norway,2005,0.587409227
Norway,2006,0.589839138
Norway,2007,0.589916585
Norway,2008,0.590245737
Norway,2009,0.650277126
Norway,2010,0.673486596
Norway,2011,0.673622129
Norway,2012,0.72967466
Norway,2013,0.798783526
Norway,2014,0.799219167
Norway,2015,0.799267572
Norway,2016,0.887015437
Norway,2017,0.887315546
Norway,2018,0.889242049
Norway,2019,0.889474391
Norway,2020,0.889474391
Norway,2021,0.889474391
Poland,1950,0.006979511
Poland,1960,0.150514663
Poland,1970,0.49766945
Poland,1980,0.905515634
Poland,1985,0.922812682
Poland,1990,0.922812682
Poland,1995,0.949516897
Poland,2000,0.95012381
Poland,2001,0.95012381
Poland,2002,0.95012381
Poland,2003,0.95012381
Poland,2004,24.11511944
Poland,2005,24.13575452
Poland,2006,24.13575452
Poland,2007,24.2805035
Poland,2008,24.28171732
Poland,2009,24.30417314
Poland,2010,24.30417314
Poland,2011,24.3044766
Poland,2012,24.3044766
Poland,2013,24.30478005
Poland,2014,24.30478005
Poland,2015,24.30478005
Poland,2016,24.30478005
Poland,2017,24.30478005
Poland,2018,24.30478005
Poland,2019,24.30478005
Poland,2020,24.30478005
Poland,2021,24.30478005
Portugal,1950,2.016604791
Portugal,1960,2.016604791
Portugal,1970,2.018194452
Portugal,1980,2.038200287
Portugal,1985,2.046746015
Portugal,1990,2.254737087
Portugal,1995,2.257428082
Portugal,2000,2.267142678
Portugal,2001,2.268664805
Portugal,2002,2.268664805
Portugal,2003,2.26867
Portugal,2004,2.270124592
Portugal,2005,2.270389536
Portugal,2006,2.339908643
Portugal,2007,2.571349816
Portugal,2008,2.653273361
Portugal,2009,2.654488984
Portugal,2010,2.654488984
Portugal,2011,2.983164437
Portugal,2012,2.983164437
Portugal,2013,2.983164437
Portugal,2014,2.984312525
Portugal,2015,3.134041992
Portugal,2016,4.45919089
Portugal,2017,4.45934674
Portugal,2018,4.46016235
Portugal,2019,4.46016235
Portugal,2020,4.46016235
Portugal,2021,4.46016235
Spain,1950,4.49899701
Spain,1960,4.49899701
Spain,1970,4.499255031
Spain,1980,4.4996821
Spain,1985,4.504726856
Spain,1990,4.584588813
Spain,1995,4.741830387
Spain,2000,4.753539203
Spain,2001,4.771360449
Spain,2002,4.771920977
Spain,2003,4.815900217
Spain,2004,4.841382018
Spain,2005,4.841462093
Spain,2006,5.103682636
Spain,2007,5.103869479
Spain,2008,5.344994579
Spain,2009,5.348544592
Spain,2010,5.348544592
Spain,2011,5.542131542
Spain,2012,5.56203475
Spain,2013,5.56203475
Spain,2014,8.451843578
Spain,2015,8.451843578
Spain,2016,8.463303271
Spain,2017,8.463303271
Spain,2018,12.74988669
Spain,2019,13.05246528
Spain,2020,13.05246528
Spain,2021,13.05246528
Sweden,1950,0.012283241
Sweden,1960,0.012398577
Sweden,1970,0.143938826
Sweden,1980,0.469012208
Sweden,1985,0.728517303
Sweden,1990,1.281724498
Sweden,1995,1.574157906
Sweden,2000,3.074155023
Sweden,2001,3.219074201
Sweden,2002,3.329335033
Sweden,2003,3.346231698
Sweden,2004,3.654754422
Sweden,2005,4.995184739
Sweden,2006,5.044952049
Sweden,2007,5.156481572
Sweden,2008,6.967077454
Sweden,2009,7.287768083
Sweden,2010,7.323118444
Sweden,2011,7.357257781
Sweden,2012,8.171411765
Sweden,2013,8.295512869
Sweden,2014,8.533853881
Sweden,2015,8.571049612
Sweden,2016,14.74802055
Sweden,2017,15.51027352
Sweden,2018,15.61424856
Sweden,2019,15.68731366
Sweden,2020,15.68731366
Sweden,2021,15.68731366
United Kingdom,1950,0.060805968
United Kingdom,1960,0.147662855
United Kingdom,1970,0.191662968
United Kingdom,1980,0.823572947
United Kingdom,1985,1.147334606
United Kingdom,1990,1.45781878
United Kingdom,1995,1.812450594
United Kingdom,2000,1.997081412
United Kingdom,2001,2.014010207
United Kingdom,2002,2.020907123
United Kingdom,2003,2.065718638
United Kingdom,2004,3.122299169
United Kingdom,2005,3.129884547
United Kingdom,2006,3.130757419
United Kingdom,2007,3.131359824
United Kingdom,2008,3.499564179
United Kingdom,2009,3.576106426
United Kingdom,2010,4.373517808
United Kingdom,2011,7.827311543
United Kingdom,2012,9.050180291
United Kingdom,2013,10.26443097
United Kingdom,2014,18.30083833
United Kingdom,2015,18.30093668
United Kingdom,2016,19.67997571
United Kingdom,2017,26.35017894
United Kingdom,2018,26.62072001
United Kingdom,2019,41.36921615
United Kingdom,2020,41.46169138
United Kingdom,2021,41.46169138
United States,1950,0.278534626
United States,1960,0.307124093
United States,1970,0.383725977
United States,1980,0.716240512
United States,1985,0.853605153
United States,1990,1.0243474
United States,1995,1.376236467
United States,2000,1.380619468
United States,2001,1.380797308
United States,2002,1.381151599
United States,2003,1.381164079
United States,2004,1.381185919
United States,2005,1.381195279
United States,2006,18.87122144
United States,2007,18.87194528
United States,2008,18.87201288
United States,2009,18.87201392
United States,2010,19.01533149
United States,2011,19.01601893
United States,2012,19.025512
United States,2013,19.08145704
United States,2014,19.0814664
United States,2015,19.08214656
United States,2016,19.11036995
United States,2017,19.11036995
United States,2018,19.11036995
United States,2019,19.11036995
United States,2020,19.11036995
United States,2021,19.11036995
G7,1950,0.551793317
G7,1960,0.591299772
G7,1970,0.690999049
G7,1980,2.491141842
G7,1985,2.587564205
G7,1990,2.69742231
G7,1995,2.877673858
G7,2000,3.010641372
G7,2001,3.011869395
G7,2002,3.015120389
G7,2003,3.091592063
G7,2004,3.221792287
G7,2005,3.263977056
G7,2006,10.61902066
G7,2007,10.66391845
G7,2008,10.76030499
G7,2009,10.81646731
G7,2010,10.95478489
G7,2011,11.1115958
G7,2012,11.40320229
G7,2013,11.66854959
G7,2014,11.95916091
G7,2015,11.96677937
G7,2016,12.04217593
G7,2017,12.8269233
G7,2018,12.94671917
G7,2019,15.0592538
G7,2020,15.06278409
G7,2021,15.06278409
NAFTA,1950,0.147815977
NAFTA,1960,0.174635326
NAFTA,1970,0.270435806
NAFTA,1980,0.440125357
NAFTA,1985,0.514024655
NAFTA,1990,0.646563639
NAFTA,1995,0.894021924
NAFTA,2000,1.013679832
NAFTA,2001,1.0140694
NAFTA,2002,1.017243543
NAFTA,2003,1.03596172
NAFTA,2004,1.106109509
NAFTA,2005,1.158445046
NAFTA,2006,9.758601309
NAFTA,2007,9.782010149
NAFTA,2008,9.848074121
NAFTA,2009,9.874524352
NAFTA,2010,9.997917692
NAFTA,2011,9.998751531
NAFTA,2012,10.00496519
NAFTA,2013,10.04034612
NAFTA,2014,10.04035481
NAFTA,2015,10.04870291
NAFTA,2016,12.95040728
NAFTA,2017,14.3962503
NAFTA,2018,14.46116909
NAFTA,2019,16.31571845
NAFTA,2020,16.31600424
NAFTA,2021,16.31600424
American Samoa,1950,0
American Samoa,1960,0
American Samoa,1970,0
American Samoa,1980,0.001608617
American Samoa,1985,0.001608617
American Samoa,1990,8.68139881
American Samoa,1995,8.681486953
American Samoa,2000,8.681486953
American Samoa,2001,8.681641204
American Samoa,2002,8.681685276
American Samoa,2003,8.682037849
American Samoa,2004,8.682037849
American Samoa,2005,8.682170064
American Samoa,2006,8.682170064
American Samoa,2007,8.682170064
American Samoa,2008,8.682170064
American Samoa,2009,8.683492216
American Samoa,2010,8.683492216
American Samoa,2011,8.683492216
American Samoa,2012,8.683492216
American Samoa,2013,8.683514251
American Samoa,2014,8.683514251
American Samoa,2015,8.683514251
American Samoa,2016,8.683514251
American Samoa,2017,8.683756646
American Samoa,2018,8.683756646
American Samoa,2019,8.683756646
American Samoa,2020,8.683756646
American Samoa,2021,8.683756646
Anguilla,1950,0
Anguilla,1960,0
Anguilla,1970,0
Anguilla,1980,0
Anguilla,1985,0
Anguilla,1990,0
Anguilla,1995,0.062229176
Anguilla,2000,0.062229176
Anguilla,2001,0.062229176
Anguilla,2002,0.062229176
Anguilla,2003,0.062229176
Anguilla,2004,0.062229176
Anguilla,2005,0.062229176
Anguilla,2006,0.062229176
Anguilla,2007,0.080917811
Anguilla,2008,0.080917811
Anguilla,2009,0.080917811
Anguilla,2010,0.080917811
Anguilla,2011,0.080917811
Anguilla,2012,0.080917811
Anguilla,2013,0.080917811
Anguilla,2014,0.080917811
Anguilla,2015,0.099208815
Anguilla,2016,0.099208815
Anguilla,2017,0.099208815
Anguilla,2018,0.099208815
Anguilla,2019,0.099208815
Anguilla,2020,0.099208815
Anguilla,2021,0.099208815
Argentina,1950,4.30329E-05
Argentina,1960,4.30329E-05
Argentina,1970,0.001065236
Argentina,1980,0.035800998
Argentina,1985,0.040288717
Argentina,1990,0.040596095
Argentina,1995,0.066729373
Argentina,2000,0.171916172
Argentina,2001,0.301884811
Argentina,2002,0.305053878
Argentina,2003,0.305053878
Argentina,2004,0.305204493
Argentina,2005,0.320754746
Argentina,2006,0.320754746
Argentina,2007,0.320754746
Argentina,2008,0.320794705
Argentina,2009,0.346546834
Argentina,2010,0.346546834
Argentina,2011,0.346881876
Argentina,2012,42.55636656
Argentina,2013,42.55636656
Argentina,2014,42.55636656
Argentina,2015,42.56251412
Argentina,2016,42.56271391
Argentina,2017,42.56271391
Argentina,2018,45.43433138
Argentina,2019,46.4819678
Argentina,2020,46.4819678
Argentina,2021,46.4819678
Aruba,1950,0
Aruba,1960,0
Aruba,1970,0
Aruba,1980,0
Aruba,1985,0
Aruba,1990,0
Aruba,1995,0
Aruba,2000,0
Aruba,2001,0
Aruba,2002,0
Aruba,2003,0
Aruba,2004,0
Aruba,2005,0
Aruba,2006,0
Aruba,2007,0
Aruba,2008,0
Aruba,2009,0
Aruba,2010,0
Aruba,2011,0
Aruba,2012,0
Aruba,2013,0
Aruba,2014,0
Aruba,2015,0
Aruba,2016,0
Aruba,2017,0
Aruba,2018,0
Aruba,2019,0
Aruba,2020,0
Aruba,2021,0
Bermuda,1950,0
Bermuda,1960,0
Bermuda,1970,0
Bermuda,1980,1.98037E-05
Bermuda,1985,1.98037E-05
Bermuda,1990,0.000257448
Bermuda,1995,0.000257448
Bermuda,2000,0.000297055
Bermuda,2001,0.000297055
Bermuda,2002,0.000297055
Bermuda,2003,0.000297055
Bermuda,2004,0.000297055
Bermuda,2005,0.000297055
Bermuda,2006,0.000297055
Bermuda,2007,0.000297055
Bermuda,2008,0.000297055
Bermuda,2009,0.000297055
Bermuda,2010,0.000297055
Bermuda,2011,0.000297055
Bermuda,2012,0.000297055
Bermuda,2013,0.000297055
Bermuda,2014,0.000297055
Bermuda,2015,0.000297055
Bermuda,2016,0.000297055
Bermuda,2017,0.000297055
Bermuda,2018,0.000297055
Bermuda,2019,0.000297055
Bermuda,2020,0.000297055
Bermuda,2021,0.000297055
Brazil,1950,0.000151444
Brazil,1960,0.000151444
Brazil,1970,0.00060822
Brazil,1980,0.070262815
Brazil,1985,0.121013746
Brazil,1990,0.207470513
Brazil,1995,0.852498545
Brazil,2000,1.108946082
Brazil,2001,1.163866615
Brazil,2002,1.180751838
Brazil,2003,1.281364574
Brazil,2004,1.281364574
Brazil,2005,1.302588756
Brazil,2006,1.325371349
Brazil,2007,1.326451
Brazil,2008,1.636838482
Brazil,2009,1.650866619
Brazil,2010,1.711736089
Brazil,2011,1.712141569
Brazil,2012,1.712293013
Brazil,2013,1.714440102
Brazil,2014,1.741954107
Brazil,2015,1.741954107
Brazil,2016,1.760288635
Brazil,2017,1.760295963
Brazil,2018,26.65008422
Brazil,2019,26.65008422
Brazil,2020,26.65008422
Brazil,2021,26.65008422
British Virgin Islands,1950,0
British Virgin Islands,1960,0
British Virgin Islands,1970,0
British Virgin Islands,1980,0.003178992
British Virgin Islands,1985,0.003178992
British Virgin Islands,1990,0.003288612
British Virgin Islands,1995,0.003288612
British Virgin Islands,2000,0.003288612
British Virgin Islands,2001,0.003288612
British Virgin Islands,2002,0.003288612
British Virgin Islands,2003,0.003288612
British Virgin Islands,2004,0.003288612
British Virgin Islands,2005,0.003288612
British Virgin Islands,2006,0.003288612
British Virgin Islands,2007,0.003288612
British Virgin Islands,2008,0.003288612
British Virgin Islands,2009,0.003288612
British Virgin Islands,2010,0.003288612
British Virgin Islands,2011,0.003288612
British Virgin Islands,2012,0.003288612
British Virgin Islands,2013,0.003288612
British Virgin Islands,2014,0.003288612
British Virgin Islands,2015,0.003288612
British Virgin Islands,2016,0.003288612
British Virgin Islands,2017,0.003288612
British Virgin Islands,2018,0.003288612
British Virgin Islands,2019,0.003288612
British Virgin Islands,2020,0.003288612
British Virgin Islands,2021,0.003288612
Bulgaria,1950,0.009609266
Bulgaria,1960,0.009609266
Bulgaria,1970,0.010128686
Bulgaria,1980,0.010388396
Bulgaria,1985,0.010388396
Bulgaria,1990,0.010388396
Bulgaria,1995,0.011946656
Bulgaria,2000,0.011946656
Bulgaria,2001,0.029347219
Bulgaria,2002,0.123881624
Bulgaria,2003,0.123881624
Bulgaria,2004,0.123881624
Bulgaria,2005,0.124920464
Bulgaria,2006,0.124920464
Bulgaria,2007,1.471256606
Bulgaria,2008,6.294848654
Bulgaria,2009,6.294848654
Bulgaria,2010,6.294848654
Bulgaria,2011,6.294848654
Bulgaria,2012,6.294848654
Bulgaria,2013,6.294848654
Bulgaria,2014,6.294848654
Bulgaria,2015,7.911283097
Bulgaria,2016,7.911283097
Bulgaria,2017,7.911283097
Bulgaria,2018,7.911283097
Bulgaria,2019,7.911283097
Bulgaria,2020,7.911283097
Bulgaria,2021,7.911283097
Cayman Islands,1950,0
Cayman Islands,1960,0
Cayman Islands,1970,0
Cayman Islands,1980,0
Cayman Islands,1985,0.004240633
Cayman Islands,1990,0.068891685
Cayman Islands,1995,0.068891685
Cayman Islands,2000,0.068891685
Cayman Islands,2001,0.068891685
Cayman Islands,2002,0.074173876
Cayman Islands,2003,0.079009686
Cayman Islands,2004,0.079009686
Cayman Islands,2005,0.079009686
Cayman Islands,2006,0.079009686
Cayman Islands,2007,0.084291878
Cayman Islands,2008,0.084291878
Cayman Islands,2009,0.084291878
Cayman Islands,2010,0.084291878
Cayman Islands,2011,0.084291878
Cayman Islands,2012,0.084291878
Cayman Islands,2013,0.084291878
Cayman Islands,2014,0.084291878
Cayman Islands,2015,0.084291878
Cayman Islands,2016,0.084291878
Cayman Islands,2017,0.084291878
Cayman Islands,2018,0.084291878
Cayman Islands,2019,0.084291878
Cayman Islands,2020,0.084291878
Cayman Islands,2021,0.084291878
Chile,1950,0.002112028
Chile,1960,0.0124137
Chile,1970,0.232367334
Chile,1980,0.232438719
Chile,1985,0.245901048
Chile,1990,0.245928125
Chile,1995,0.245994588
Chile,2000,0.25008818
Chile,2001,0.25008818
Chile,2002,0.25008818
Chile,2003,0.250550955
Chile,2004,0.284345857
Chile,2005,0.287543437
Chile,2006,0.288700375
Chile,2007,0.28873976
Chile,2008,0.28873976
Chile,2009,0.28873976
Chile,2010,4.403816114
Chile,2011,4.403816114
Chile,2012,4.403816114
Chile,2013,4.403816114
Chile,2014,4.403914577
Chile,2015,4.409918347
Chile,2016,12.63137186
Chile,2017,13.31826081
Chile,2018,36.68084441
Chile,2019,40.70331156
Chile,2020,40.70338787
Chile,2021,40.70338787
China (People's Republic of),1950,8.23228E-05
China (People's Republic of),1960,8.23228E-05
